PLAYER:Nice pretty boy|SCORE:  62
PLAYER:Turn away      |SCORE:  22
PLAYER:Modern Cliche  |SCORE:  11
PLAYER:Hold on        |SCORE:   7
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   6
PLAYER:Matanga        |SCORE:   5
PLAYER:Matanga        |SCORE:   5
PLAYER:Matanga        |SCORE:   5
PLAYER:Matanga        |SCORE:   5
PLAYER:Matanga        |SCORE:   5
PLAYER:Matanga        |SCORE:   5
PLAYER:Matanga        |SCORE:   5
PLAYER:Matanga        |SCORE:   5
PLAYER:Hell 2         |SCORE:   2
PLAYER:fuck           |SCORE:   2
PLAYER:No usamos sleep|SCORE:   2
PLAYER:Higher         |SCORE:   2
PLAYER:Cuanta fe      |SCORE:   2
PLAYER:A verga        |SCORE:   2
PLAYER:Nice           |SCORE:   2
PLAYER:Same           |SCORE:   1
PLAYER:Today          |SCORE:   1
PLAYER:Thats allright |SCORE:   1
PLAYER:Down           |SCORE:   1
PLAYER:POinkt         |SCORE:   1
PLAYER:Slight         |SCORE:   1
PLAYER:Peteee         |SCORE:   1
PLAYER:Now            |SCORE:   1
PLAYER:Va qie va      |SCORE:   1
PLAYER:Chupa pija     |SCORE:   1
PLAYER:Down           |SCORE:   1
PLAYER:Overnight NICE |SCORE:   1
PLAYER:gaga           |SCORE:   1
PLAYER:Test scroll    |SCORE:   1
PLAYER:Test compacto  |SCORE:   1
